Time	FHx	FHy	FHz	LEx	LEy	LEz	MEx	MEy	MEz	HFx	HFy	HFz	TTx	TTy	TTz	LMx	LMy	LMz	MMx	MMy	MMz	CAx	CAy	CAz	FMx	FMy	FMz	VMx	VMy	VMz	Fx	Fy	Fz	COPx	COPy	COPz	My
0.36	359.80078	837.48901	-371.60471	374.96106	474.69235	-193.51505	533.99963	490.72043	-338.19171	366.61566	408.45355	-199.5853	421.29611	406.65775	-244.17603	322.2915	63.49486	-250.63939	355.62189	82.53523	-327.57565	276.47266	40.60365	-297.23352	486.37863	35.95586	-280.81039	442.66159	29.40753	-210.2739	-16.75	553.91	-31.08	410.9	0	-261.54	1149.82
0.367	366.97534	837.65668	-370.90747	377.82269	474.54327	-193.32831	545.90094	492.97156	-337.39603	368.96896	408.39001	-199.4998	423.63574	406.2496	-243.97	322.45844	63.66096	-250.71002	355.96826	82.60349	-327.60239	276.59662	40.86586	-297.41479	486.47845	35.90893	-280.74106	442.6857	29.3345	-210.15562	-16.07	558.34	-31.24	413.56	0	-260.66	1224.4
0.373	374.16812	837.73181	-370.23019	380.72058	474.38089	-193.14746	557.37897	495.03827	-336.6286	371.35168	408.31964	-199.41809	425.99255	405.83975	-243.77075	322.62482	63.83762	-250.78595	356.32178	82.67254	-327.63739	276.72528	41.14034	-297.6073	486.59451	35.87506	-280.67548	442.70462	29.26511	-210.04579	-15.86	566.06	-31.77	415.93	0	-259.54	1294.11
0.38	381.37656	837.71558	-369.58804	383.64911	474.20898	-192.9772	568.4278	496.89401	-335.8764	373.75888	408.24582	-199.34421	428.36023	405.43042	-243.58458	322.78857	64.0264	-250.86856	356.68085	82.74525	-327.68097	276.8587	41.42804	-297.81128	486.7327	35.85529	-280.61813	442.71719	29.20027	-209.94615	-15.54	570.5	-32.12	419.56	0	-258.87	1183.87
0.387	388.59698	837.60883	-368.99417	386.60138	474.03177	-192.82071	579.04584	498.51581	-335.12561	376.18445	408.17215	-199.28105	430.73587	405.02374	-243.4137	322.94785	64.22902	-250.95969	357.04486	82.82539	-327.73318	276.99652	41.73011	-298.0285	486.89017	35.84776	-280.56863	442.72208	29.14056	-209.85762	-15.04	577.13	-32.18	421.76	0	-257.86	1319.22
0.393	395.82547	837.41113	-368.457	389.57068	473.85327	-192.67958	589.23669	499.88452	-334.36203	378.62195	408.10217	-199.23032	433.11926	404.62073	-243.25681	323.10104	64.44734	-251.06154	357.4137	82.91713	-327.79413	277.13818	42.04797	-298.26193	487.05865	35.84898	-280.52335	442.71783	29.08636	-209.7804	-13.31	580.78	-32.53	425.39	0	-257.29	1228.71
0.4	403.05786	837.12177	-367.9794	392.55084	473.67682	-192.55414	599.0094	500.98544	-333.57217	381.06552	408.03879	-199.19269	435.51205	404.22055	-243.11041	323.24704	64.68318	-251.17648	357.7876	83.02438	-327.86432	277.28308	42.3834	-298.51532	487.23044	35.8558	-280.47794	442.70279	29.03799	-209.71417	-11.5	586.69	-32.5	427.74	0	-256.38	1346.34
0.407	410.29044	836.73981	-367.55896	395.53754	473.50491	-192.44397	608.37866	501.80811	-332.74512	383.51093	407.98392	-199.16797	437.91675	403.82095	-242.96962	323.38538	64.9382	-251.30685	358.16742	83.15034	-327.94446	277.43048	42.73877	-298.79202	487.39975	35.86593	-280.42856	442.67526	28.99592	-209.65836	-8.74	590.75	-32.86	429.95	0	-256.35	1254.46
0.413	417.52066	836.2652	-367.18976	398.52863	473.33908	-192.34814	617.3642	502.34494	-331.87512	385.9563	407.93842	-199.15541	440.33548	403.41983	-242.82916	323.51706	65.2139	-251.45456	358.55469	83.2972	-328.03528	277.58057	43.11684	-299.09412	487.56284	35.87797	-280.37225	442.63382	28.96068	-209.61224	-6.93	593.28	-33.22	432.11	0	-255.56	1340.58
0.42	424.74811	835.69836	-366.86539	401.52509	473.17963	-192.26547	625.99084	502.58978	-330.96368	388.40308	407.90201	-199.15385	442.77063	403.01559	-242.68433	323.64401	65.51163	-251.62097	358.95166	83.46619	-328.13727	277.73401	43.52064	-299.42197	487.71762	35.89137	-280.30725	442.57809	28.93269	-209.5752	-3.43	597.69	-32.53	434.81	0	-254.54	1526.3
0.427	431.97449	835.04059	-366.58047	404.53162	473.02573	-192.1944	634.28821	502.5376	-330.01785	390.85632	407.8736	-199.16182	445.22748	402.60617	-242.53116	323.76874	65.83276	-251.80692	359.36108	83.65798	-328.25049	277.89203	43.95317	-299.77448	487.86313	35.90605	-280.23294	442.50934	28.91196	-209.5468	-1.43	600.66	-33.36	436.71	0	-254.1	1413.72
0.433	439.20432	834.29395	-366.33078	407.55652	472.87546	-192.133	642.28979	502.18649	-329.04565	393.32471	407.85141	-199.17749	447.71497	402.1882	-242.36649	323.89359	66.17869	-252.01257	359.78546	83.87323	-328.37466	278.05591	44.41729	-300.14972	487.9989	35.92187	-280.14981	442.42929	28.8982	-209.52704	1.6	605.41	-33.71	439.78	0	-253.11	1526.41
0.44	446.44568	833.46149	-366.11334	410.61127	472.72626	-192.07898	650.03186	501.53961	-328.05399	395.81949	407.83331	-199.19862	450.24451	401.75766	-242.18835	324.02075	66.55095	-252.2375	360.22711	84.11279	-328.50964	278.22711	44.91586	-300.54526	488.12509	35.93816	-280.05966	442.3392	28.89093	-209.5164	4.17	607.94	-33.51	442.19	0	-252.98	1731.22
0.447	453.71158	832.54663	-365.92645	413.71008	472.57516	-192.02969	657.54962	500.60614	-327.04935	398.35428	407.81708	-199.22272	452.82767	401.31149	-241.99651	324.15204	66.95129	-252.4805	360.68762	84.37779	-328.65515	278.40686	45.45208	-300.9581	488.2424	35.95376	-279.96518	442.23981	28.88953	-209.51553	7.11	612.06	-33.96	444.1	0	-252.65	1788.04
